column,feature_importance
LIVING_GBA,101590.0613082652
ROOMS,101477.19063228535
ROOMS-BEDRM,75607.84793388072
BATHRM+HF_BATHRM,44688.60602018818
BATHRM,34267.08987244653
CE_WARD,32338.83980310322
LE_CENSUS_TRACT,29520.949532261882
CMPLX_NUM,26530.672481037727
Sale_Year,23226.727735937435
LE_WARD,15629.718348679333
AYB,15187.406836382743
BEDRM,12346.321074032914
YR_RMDL,10368.11110691126
CE_CENSUS_TRACT,10061.810945167246
LANDAREA,10002.088921186387
CE_ASSESSMENT_NBHD,9794.65471848029
LE_ZIPCODE,9093.439549232757
CE_QUALIFIED,8245.009094944113
LE_ASSESSMENT_NBHD,8170.610235976262
GP_BATHRM@WARD_mean,7760.644566326812
LE_QUALIFIED,6472.860851855521
Age@AYB,6452.76798500377
EYB,5857.286454033809
Age@YR_RMDL,5622.332989133414
CE_ZIPCODE,5366.979474284727
GP_BATHRM@ZIPCODE_mean,4850.830448978837
LONGITUDE,4104.367032337136
LE_HEAT,3396.7708826762137
Sale_Month,3346.5630453329823
GP_BATHRM@WARD_std,3328.2266204926827
LATITUDE,2857.0338354451574
CE_HEAT,2831.451234830535
Age@EYB,2634.6131775689014
GP_BATHRM@ZIPCODE_std,2597.440843194534
CE_QUADRANT,2586.8123219055183
FIREPLACES,2138.2893271085827
SALE_NUM,1698.8792149706628
LE_QUADRANT,926.5568135683774
CE_USECODE,529.2859589374086
AC,434.00120351112565
HF_BATHRM,366.13000547302653
LE_USECODE,262.8136832133285
